RA;Código_Turma;Nome_Disciplina
11202321043;DB2BCN0402-15SA;Funções de Uma Variável B2-Matutino (Santo André)
11202321043;DB1BCN0404-15SA;Geometria Analítica B1-Matutino (Santo André)
11202321043;DB2BCM0504-15SA;Natureza da Informação B2-Matutino (Santo André)
11202131095;DA1ESHC030-17SB;Desigualdades de Raça, Gênero e Renda A1-Matutino (São Bernardo)
11202131095;DA1ESHC018-17SB;Formação Econômica do Brasil A1-Matutino (São Bernardo)
11202131095;NA2BCN0402-15SB;Funções de Uma Variável
11201920527;NB2ESTO902-17SA;Engenharia Unificada I
11201920527;NAESTI017-17SA;Fundamentos de Eletromagnetismo Aplicado
11201920527;NAESZI030-17SA;Gerenciamento e Interoperabilidade de Redes
11201920527;NA1ESTI013-17SA;Sistemas Microprocessados
11202230271;DC1BCM0506-15SA;Comunicação e Redes C1-Matutino (Santo André)
11202230271;DA1BCN0407-15SA;Funções de Várias Variáveis A1-Matutino (Santo André)
11202230271;DA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-Matutino (Santo André)
11202230271;DA1BCL0307-15SA;Transformações Químicas A1-Matutino (Santo André)
11202212398;NA2BIR0004-15SA;Bases Epistemológicas da Ciência Moderna
11202212398;NB1BIS0003-15SA;Bases Matemáticas
11202212398;NB2BCN0404-15SA;Geometria Analítica
11201810602;NA1ESTG002-17SB;Desenvolvimento Integrado do Produto
11201810602;NA1ESTG004-17SB;Elaboração, Análise e Avaliação de Projetos
11201810602;DAESTG010-17SB;Inovação Tecnológica A-Matutino (São Bernardo)
11202020061;NB1MCTB001-17SB;Álgebra Linear
11202020061;NB1BHO1102-19SB;Introdução à Economia
11202020061;NA1ESTO006-17SB;Materiais e Suas Propriedades
11201723022;NA1ESTB022-17SB;Fundamentos de Eletrônica Analógica e Digital
11201723022;NA1ESZB004-17SB;Processamento e Análise de Falhas em Biomateriais
11202230408;NB2BIR0004-15SB;Bases Epistemológicas da Ciência Moderna
11202230408;NA1BHO0102-15SB;Desenvolvimento e Sustentabilidade
11201811299;NA1ESTG004-17SB;Elaboração, Análise e Avaliação de Projetos
11201811299;DA1ESZG041-17SB;Gestão da Inovação A1-Matutino (São Bernardo)
11201811299;NAESZG006-17SB;Pesquisa Operacional Aplicada
11012606;NAESZE090-17SA;Refrigeração e Condicionamento de Ar
11012606;NA1ESZE078-17SA;Regulação e Mercado de Energia Elétrica
11202320250;DA2BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A2-Matutino (Santo André)
11202320250;DB1BIS0003-15SA;Bases Matemáticas B1-Matutino (Santo André)
11202320250;DA1LHZ0010-19SB;Educação Não Formal, Informal e Popular A1-Matutino (São Bernardo)
11202320250;DA1NHZ5016-15SA;História da Educação A1-Matutino (Santo André)
11202320250;DA1LIE0001-19SA;Metodologias de Pesquisa em Educação A1-Matutino (Santo André)
11202320250;DA1NHZ5019-15SA;Tecnologias da Informação e Comunicação na Educação A1-Matutino (Santo André)
11201920641;DA1ESHP004-13SB;Cidadania, Direitos e Desigualdades A1-Matutino (São Bernardo)
11201920641;DA1ESZT017-17SB;Dinâmicas Territoriais e Relações Étnico-Raciais no Brasil A1-Matutino (São Bernardo)
11201920641;DA1BHO0101-15SB;Estado e Relações de Poder A1-Matutino (São Bernardo)
11201920856;NAESTE004-17SA;Energia, Meio Ambiente e Sociedade
11201920856;NA1ESZU029-17SA;História da Cidade e do Urbanismo
11201920856;NA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias
11201920856;NA1ESTO012-17SB;Princípios de Administração
11202020902;DA1BCN0402-15SB;Funções de Uma Variável A1-Matutino (São Bernardo)
11202020902;DB1BCN0404-15SA;Geometria Analítica B1-Matutino (Santo André)
11202020902;NA1BCL0307-15SA;Transformações Químicas
21086413;NA1NHZ5016-15SB;História da Educação
21086413;NA1NHZ5019-15SB;Tecnologias da Informação e Comunicação na Educação
21086413;NALHE0004-19SB;Teoria da História I
11202111864;NB1BCM0506-15SB;Comunicação e Redes
11202111864;NA1ESHP013-22SB;Direito Constitucional
11202111864;NA1BHQ0003-15SB;Interpretações do Brasil
11202111864;NA1BIN0406-15SB;Introdução à Probabilidade e à Estatística
11202020978;DA1ESZU024-17SA;Clima Urbano A1-Matutino (Santo André)
11202020978;DA1ESZG013-17SB;Empreendedorismo A1-Matutino (São Bernardo)
11202020978;DA1ESTG006-17SB;Engenharia Laboral A1-Matutino (São Bernardo)
11202020978;DA1ESTG009-17SB;Gestão de Operações A1-Matutino (São Bernardo)
11202020978;DA1ESTO004-17SB;Instrumentação e Controle A1-Matutino (São Bernardo)
11202020978;DA1ESZG032-17SB;Modelos e Ferramentas de Gestão Ambiental A1-Matutino (São Bernardo)
21025414;NA1ESZP043-14SB;Inovação nos Serviços Públicos
21025414;NB1BIN0406-15SB;Introdução à Probabilidade e à Estatística
11201922014;NA1BIR0004-15SB;Bases Epistemológicas da Ciência Moderna
11201922014;NA3BCN0402-15SB;Funções de Uma Variável
11201922014;NB1BIN0406-15SB;Introdução à Probabilidade e à Estatística
11201922014;NA1BCL0307-15SB;Transformações Químicas
11202131100;NA4BCJ0204-15SB;Fenômenos Mecânicos
11202131100;NA1BCN0402-15SB;Funções de Uma Variável
11202131100;NA2MCTC023-15SB;Neuroanatomia
11111209;NANHT1057-15SA;Genética II
11111209;NA1NHZ6010-18SA;Genômica e Pós-Genômica
11111209;DANHZ6014-18SA;Trabalho de Conclusão de Curso de Biotecnologia A-Matutino (Santo André)
11201722436;NB1MCTB009-17SB;Cálculo Numérico
11202210015;DB1NHZ5020-15SA;Educação inclusiva B1-Matutino (Santo André)
11202210015;NA1MCTD018-18SA;Práticas de Ensino de Matemática III
11202210015;NA1NHT4071-15SA;Práticas de Ensino de Química II
