RA;Código_Turma;Nome_Disciplina
11002112;DAESZG013-17SB;Empreendedorismo A-Matutino (São Bernardo)
11202130002;DA1NHT1002-15SB;Bioética A1-Matutino (São Bernardo)
11202130002;DA1MCNC001-23SB;Biofísica de Membranas A1-Matutino (São Bernardo)
11202130002;DA2MCTC023-15SB;Neuroanatomia A2-Matutino (São Bernardo)
11202130002;DA1MCTC018-20SB;Neuropsicofarmacologia A1-Matutino (São Bernardo)
11202112038;NB1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna
11202112038;NAESTB019-17SB;Bioestatística
11202112038;DB1BCN0402-15SB;Funções de Uma Variável B1-Matutino (São Bernardo)
11202112038;NB1ESTU010-17SA;Microbiologia Ambiental
11201921240;DA3BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Matutino (São Bernardo)
11201921240;NB3BCK0103-15SA;Física Quântica
11201921240;NAMCTD010-18SA;História da Matemática
11201921240;NA2NHI5015-22SA;LIBRAS
11201921240;DANHI2049-13SB;Lógica Básica A-Matutino (São Bernardo)
11201921240;DA1MCZC016-15SB;Neurociência da Cognição Musical A1-Matutino (São Bernardo)
21077113;NA1MCZB009-13SA;Geometria Não Euclidiana
21077113;NAMCTD019-18SA;Práticas de Ensino de Matemática IV
21077113;NA1MCTB023-17SA;Teoria Aritmética dos Números
11202021033;DA3BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Matutino (São Bernardo)
11202130004;DA2MCTA001-17SA;Algoritmos e Estruturas de Dados I A2-Matutino (Santo André)
11202130004;DA2MCTA006-17SA;Circuitos Digitais A2-Matutino (Santo André)
11202130004;NA2BCK0103-15SA;Física Quântica
11202130004;DAMCTB019-17SA;Matemática Discreta A-Matutino (Santo André)
11202130004;DB2MCTA022-17SA;Redes de Computadores B2-Matutino (Santo André)
11202111469;DC1BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente C1-Matutino (São Bernardo)
11202111469;DA1ESHR007-21SB;Geopolítica A1-Matutino (São Bernardo)
11202111469;DIESHR012-21SB;Política Internacional dos EUA I-Matutino (São Bernardo)
11202111469;DA1ESHR014-21SB;Relações Internacionais Contemporâneas A1-Matutino (São Bernardo)
11202111469;DA1ESHR002-21SB;Temas de Direito Internacional Público A1-Matutino (São Bernardo)
11202111469;DA1ESHR023-21SB;Teorias Contemporâneas das Relações Internacionais A1-Matutino (São Bernardo)
11202231396;NA2BCN0402-15SB;Funções de Uma Variável
11201721638;NA1MCBM002-23SA;Análise Real I
11201721638;NA1MCTB008-17SA;Cálculo de Probabilidade
11201721638;NA1MCBM011-23SA;Teoria de Grupos
11202130357;DB3BCL0308-15SB;Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B3-Matutino (São Bernardo)
11202130357;DANHH2085-16SB;Filosofia da Arte A-Matutino (São Bernardo)
11202130357;DB1BCK0103-15SB;Física Quântica B1-Matutino (São Bernardo)
11202130357;DA2MCTC023-15SB;Neuroanatomia A2-Matutino (São Bernardo)
11202230325;NB3BCJ0204-15SA;Fenômenos Mecânicos
11202230325;NA2BCN0402-15SA;Funções de Uma Variável
11202230325;NA2BCN0404-15SA;Geometria Analítica
11202022015;DA1ESZP055-22SB;Política Previdenciária, Interesses Organizados e Processo Decisório A1-Matutino (São Bernardo)
11107815;DABIS0003-15SB;Bases Matemáticas A-Matutino (São Bernardo)
11201811685;NABHS0002-23SB;Arenas e Problemas Públicos
11201811685;DA1NHT1002-15SA;Bioética A1-Matutino (Santo André)
11201811685;DAESZU034-17SA;Ecologia do Ambiente Urbano A-Matutino (Santo André)
11201811685;DB7BCJ0205-15SA;Fenômenos Térmicos B7-Matutino (Santo André)
11201811685;DAMCZA008-17SA;Interação Humano-Computador A-Matutino (Santo André)
11201811685;DA1ESTU015-17SA;Saúde Ambiental A1-Matutino (Santo André)
11201921313;NABHS0002-23SB;Arenas e Problemas Públicos
11102814;NA1ESTI010-17SA;Comunicações Ópticas
11102814;NA1ESTO011-17SA;Fundamentos de Desenho Técnico
11102814;NA1ESTI018-17SA;Ondas Eletromagnéticas Aplicadas
11102814;NA1MCTA026-13SA;Sistemas Operacionais
11042216;DANHZ1009-15SA;Biologia Molecular e Biotecnologia A-Matutino (Santo André)
11042216;DANHZ1027-15SA;Farmacologia A-Matutino (Santo André)
11042216;DAESZB022-17SB;Introdução à Bioinformática A-Matutino (São Bernardo)
11042216;DAESZB015-17SA;Laboratório de Bioinformática A-Matutino (Santo André)
11042216;DB1BCS0002-15SA;Projeto Dirigido B1-Matutino (Santo André)
