RA;Código_Turma;Nome_Disciplina
11202130002;DA1MCTC024-15SB;Neuroetologia A1-Matutino (São Bernardo)
11202130002;NA1MCTC007-20SB;Comunicação Científica
11202021033;DA3BCJ0203-15SA;Fenômenos Eletromagnéticos A3-Matutino (Santo André)
11201921313;DA1BCN0402-15SB;Funções de Uma Variável A1-Matutino (São Bernardo)
11201920856;NA2NHZ5020-15SA;Educação inclusiva
11201722436;NA1ESTO008-17SB;Mecânica dos Sólidos I
11201722436;NA1ESTG014-17SB;Planejamento e Controle da Produção
11202210015;NA1NHZ4080-20SA;História da Química
11201920378;NA1ESTO004-17SB;Instrumentação e Controle
11201920333;DAESZS031-17SB;Placas e Cascas A-Matutino (São Bernardo)
11202111766;NA1LHZ0042-22SB;Práticas de Agroecologia: de(s)colonizando saberes sobre manejo e cultivo em solos tropicais
11202020602;NB1NHZ5020-15SA;Educação inclusiva
11202020602;NA2BCN0402-15SB;Funções de Uma Variável
11201920706;DA2ESTO903-17SA;Engenharia Unificada II A2-Matutino (Santo André)
11202231685;DA1ESHP004-13SB;Cidadania, Direitos e Desigualdades A1-Matutino (São Bernardo)
11201810859;DA1ESHC036-21SB;Econometria II A1-Matutino (São Bernardo)
11202130412;NBESTA005-17SA;Análise de Sistemas Dinâmicos Lineares
11202130412;NA1MCZB005-17SA;Análise Numérica
11202130820;NA1MCZB015-13SA;Introdução à Criptografia
11201722814;NA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias
11202021891;DA1BCN0407-15SA;Funções de Várias Variáveis A1-Matutino (Santo André)
11202021891;NA2ESTO001-17SA;Circuitos Elétricos e Fotônica
11075015;NA1MCZB035-17SA;Evolução dos Conceitos Matemáticos
11106815;NA1ESTO005-17SB;Introdução às Engenharias
11100816;NC3BCJ0203-15SA;Fenômenos Eletromagnéticos
11202321847;NA2BIR0004-15SA;Bases Epistemológicas da Ciência Moderna
13201910027;NA1NHZ5016-15SB;História da Educação
13201910027;NA1ESHP018-14SB;Políticas Sociais
11201920486;NAMCTA004-17SA;Arquitetura de Computadores
11202320222;DA3BCM0504-15SA;Natureza da Informação A3-Matutino (Santo André)
