RA;Código_Turma;Nome_Disciplina
11202422039;DA1ESZR027-21SB;DIÁSPORAS AFRICANAS E AS RELAÇÕES INTERNACIONAIS
11202422039;NA1BHQ0002-15SB;ESTUDOS ÉTNICO-RACIAIS
11202422039;NA1BHP0001-15SB;ÉTICA E JUSTIÇA
11202422039;NA1BHQ0301-15SB;TERRITÓRIO E SOCIEDADE
11202130002;DA1NHZ2001-11SB;ANTROPOLOGIA FILOSÓFICA
11202130002;DAESZB033-17SB;PROJETO E DESENVOLVIMENTO DE INTERFACES CÉREBRO-MÁQUINA
11202422051;DA1ESHC030-17SB;DESIGUALDADES DE RAÇA, GÊNERO E RENDA
11202422051;DA1BHO0101-15SB;ESTADO E RELAÇÕES DE PODER
11202422051;DA1BCS0003-25SB;PRÁTICAS EXTENSIONISTAS EM GÊNERO, DIVERSIDADE E RAÇA
11202410088;NB1BIR0004-15SA;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA
11202410088;NA1BCL0306-15SA;BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE
11202410088;NA1NHZ1016-15SA;CONSERVAÇÃO DA BIODIVERSIDADE
11202410088;NA1BCM0504-15SA;NATUREZA DA INFORMAÇÃO
11201921240;DA1ESBM004-23SB;FUNDAMENTOS DE FISIOPATOLOGIA PARA ENGENHARIAS I
11201921240;DA2MCTC023-15SB;NEUROANATOMIA
11201921240;DA1ESTB015-17SB;PRINCÍPIOS DE ÉTICA EM SERVIÇOS DE SAÚDE
21077113;NB1BCN0407-15SA;FUNÇÕES DE VÁRIAS VARIÁVEIS
21077113;NA1ESTI006-17SA;PROCESSAMENTO DIGITAL DE SINAIS
21077113;NA1MCZB030-17SA;TEORIA AXIOMÁTICA DE CONJUNTOS
11202021033;DB1MCTB009-17SB;CÁLCULO NUMÉRICO
11202021033;NB3BCJ0205-15SA;FENÔMENOS TÉRMICOS
11202021033;DB1BCN0407-15SB;FUNÇÕES DE VÁRIAS VARIÁVEIS
11202021033;NA2BCN0404-15SA;GEOMETRIA ANALÍTICA
11202021033;NA1BCM0504-15SB;NATUREZA DA INFORMAÇÃO
11202021033;NAESZA006-17SA;TEORIA DE CONTROLE ÓTIMO
11202130004;DA1MCTA033-15SA;ENGENHARIA DE SOFTWARE
11202130004;DA1MCZB015-13SA;INTRODUÇÃO À CRIPTOGRAFIA
11202130004;DA1MCZA024-17SA;REDES SEM FIO
11202130004;DA1MCTA023-17SA;SEGURANÇA DE DADOS
11202111469;DA1ESZR026-21SB;DESLOCAMENTO FORÇADO, REFÚGIO E HUMANITARISMO
11202111469;DA1ESZR027-21SB;DIÁSPORAS AFRICANAS E AS RELAÇÕES INTERNACIONAIS
11202510058;NA1BCM0504-15SB;NATUREZA DA INFORMAÇÃO
11202422205;NB1BIR0004-15SA;BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA
11202422205;NA1ESTO005-17SB;INTRODUÇÃO ÀS ENGENHARIAS
11202422205;NB1ESTU010-17SA;MICROBIOLOGIA AMBIENTAL
11202522421;NB2BCM0505-22SA;PROCESSAMENTO DA INFORMAÇÃO
11202420385;DA1ESHC002-17SB;CONTABILIDADE BÁSICA
11202420385;NA1ESHP012-22SB;DIREITO ADMINISTRATIVO
11202420385;NA1ESHC008-21SB;ECONOMIA BRASILEIRA II
11202420385;NA1BHP0202-15SB;PENSAMENTO CRÍTICO
11202321699;NB1BIQ0602-15SA;ESTRUTURA E DINÂMICA SOCIAL
11202321699;NA4BCL0307-15SA;TRANSFORMAÇÕES QUÍMICAS
11202130357;DA1MCTB001-17SB;ÁLGEBRA LINEAR
11202130357;DA1MCZC010-15SB;ATENÇÃO E ESTADOS DE CONSCIÊNCIA
