RA;Código_Turma;Nome_Disciplina
11000116;NA1MCTA003-17SA;ANÁLISE DE ALGORITMOS
11000116;NA1ESZI030-17SA;GERENCIAMENTO E INTEROPERABILIDADE DE REDES
11000116;NB1MCTB019-17SA;MATEMÁTICA DISCRETA
11000116;NA1MCCC015-23SA;PROGRAMAÇÃO FUNCIONAL
11000116;DA1MCZA020-13SA;PROGRAMAÇÃO PARALELA
11000116;NA1MCZA030-17SA;VIDA ARTIFICIAL NA COMPUTAÇÃO
11000315;NA1ESTI015-17SA;COMUNICAÇÕES MÓVEIS
11000315;NB1ESTI016-17SA;FUNDAMENTOS DE FOTÔNICA
11000315;NA1ESZI039-17SA;PROPAGAÇÃO E ANTENAS
11000417;NAMCNC002-23SB;NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL
11000617;NA1ESTE037-17SA;ANÁLISE ECONÔMICA DE PROJETOS ENERGÉTICOS
11002606;NA1ESTI002-17SA;ELETRÔNICA DIGITAL
11002606;DAESTA013-17SA;FUNDAMENTOS DE ROBÓTICA
11002606;NA1ESTI006-17SA;PROCESSAMENTO DIGITAL DE SINAIS
11002606;NA1ESZA019-17SA;VISÃO COMPUTACIONAL
11002914;NA1ESTS006-17SB;LABORATÓRIO DE GUIAGEM, NAVEGAÇÃO E CONTROLE
11002914;DA1ESAE013-23SB;MECÂNICA DOS SÓLIDOS II
11003116;NB6BCJ0203-15SA;FENÔMENOS ELETROMAGNÉTICOS
11003116;NB1BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11003612;NAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11003612;NAMCNC002-23SB;NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL
11003612;NA1MCTC020-15SB;PSICOLOGIA EXPERIMENTAL
11003612;NAMCZC018-20SB;PSICOPATOLOGIA
11003816;DA1BCN0407-15SA;FUNÇÕES DE VÁRIAS VARIÁVEIS
11003816;NA2ESTO004-17SB;INSTRUMENTAÇÃO E CONTROLE
11004214;DA1ESAE008-23SB;DINÂMICA DO VOO
11004214;NA1ESTS006-17SB;LABORATÓRIO DE GUIAGEM, NAVEGAÇÃO E CONTROLE
11004214;NA1ESTS013-17SB;PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES I
