RA;Código_Turma;Nome_Disciplina
11201723109;DA1ESTO008-17SB;MECÂNICA DOS SÓLIDOS I
11202420150;DA4BIK0102-15SA;ESTRUTURA DA MATÉRIA
11202321673;DA1NHLB002-23SA;PRÁTICAS DE ENSINO DE BIOLOGIA E APRENDIZAGEM
11202210050;NC1LCT1001-24SA;ESTÁGIO I NO ENSINO FUNDAMENTAL
11202321818;DB1ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
11202111171;DA2BCS0002-15SA;PROJETO DIRIGIDO
11202510060;NA1ESTO011-17SA;FUNDAMENTOS DE DESENHO TÉCNICO
11202421889;DC1BIS0003-15SB;BASES MATEMÁTICAS
11202021531;NANHZ2106-18SB;FILOSOFIA DA CIÊNCIA
11202320410;NA1NHBQ007-22SA;FUNDAMENTOS DE QUÍMICA
11202320915;DA1ESHR019-21SB;CHINA NAS RELAÇÕES INTERNACIONAIS
11202020444;DAMCNC002-23SB;NEUROCIÊNCIA TEÓRICA E COMPUTACIONAL
11202230648;NA2BCN0405-15SA;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11201811037;NA1ESTU038-17SA;TRATAMENTO DE ÁGUAS URBANAS SERVIDAS
11202421478;DB1BCJ0205-15SA;FENÔMENOS TÉRMICOS
11202131392;DA1ESZG017-17SB;CLIMA E CULTURA ORGANIZACIONAL
21015516;NA1ESHP021-13SB;TRAJETÓRIAS DAS POLÍTICAS DE CT&I NO BRASIL
11202231666;NA1ESTO004-17SA;INSTRUMENTAÇÃO E CONTROLE
11202420129;NC1ESTO005-17SA;INTRODUÇÃO ÀS ENGENHARIAS
11202420186;DA1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11201722790;NA1ESMA001-23SB;SOLUÇÕES PARA DESAFIOS EM ENGENHARIA
11201920444;DA1ESHC018-17SB;FORMAÇÃO ECONÔMICA DO BRASIL
11202230839;DANHZ2106-18SB;FILOSOFIA DA CIÊNCIA
11202322082;NC1BCS0001-15SA;BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS
11202420963;DA2BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11092816;DA1ESZG017-17SB;CLIMA E CULTURA ORGANIZACIONAL
11202020096;NA2ESMA002-23SB;INOVAÇÕES PARA ENGENHARIA
11202320420;NA2BHQ0003-15SB;INTERPRETAÇÕES DO BRASIL
11202421545;DC1ESTO005-17SA;INTRODUÇÃO ÀS ENGENHARIAS
11202111658;NA1MCTC014-13SB;INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA
11202021250;NA1MCCC002-23SA;ALGORITMOS E ESTRUTURAS DE DADOS II
11201922158;NA2ESGE003-23SB;SISTEMAS CAM
11202130569;NA1ESGE007-23SB;GESTÃO AMBIENTAL EMPRESARIAL
11202130569;NA1ESZB005-17SB;INTRODUÇÃO À BIOTECNOLOGIA
11202021347;DA2MCTA009-13SA;COMPUTADORES, ÉTICA E SOCIEDADE
11202421547;NA1ESZB005-17SB;INTRODUÇÃO À BIOTECNOLOGIA
11202230295;NA2MCTA009-13SA;COMPUTADORES, ÉTICA E SOCIEDADE
11201722546;NA1MCTC020-15SB;PSICOLOGIA EXPERIMENTAL
11202230973;NA1MCTC014-13SB;INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA
11202320947;DAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11202332338;DA1BCJ0205-15SB;FENÔMENOS TÉRMICOS
11202422023;DB1BIN0406-15SB;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202420584;ND3BCS0001-15SA;BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS
11202022163;NA1ESZI030-17SA;GERENCIAMENTO E INTEROPERABILIDADE DE REDES
11202322181;NA1NHLH001-24SB;ANTIGUIDADES E USOS DO PASSADO
11202421539;DAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11202130584;NA1MCTC014-13SB;INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA
11202312256;NA1ESAE002-23SA;DESENHO UNIVERSAL E TECNOLOGIA ASSISTIVA
11202320501;DA2BHO0102-15SB;DESENVOLVIMENTO E SUSTENTABILIDADE
11202111950;NA1ESZR033-21SB;RELAÇÕES INTERNACIONAIS E ARTE
11202130665;NA1NHT1059-15SA;MORFOFISIOLOGIA HUMANA II
11202130665;DA1NHZ1074-15SA;ASTROBIOLOGIA
11202020525;DA1BIK0102-15SB;ESTRUTURA DA MATÉRIA
11202130575;NA1ESZB030-17SB;GESTÃO DE TECNOLOGIA HOSPITALAR II
11202322146;NAMCTC001-15SB;INTRODUÇÃO À FILOSOFIA DA MENTE
11202231883;NA2BHO0102-15SB;DESENVOLVIMENTO E SUSTENTABILIDADE
11201920806;DA1NHLF001-22SB;ARTE NO ENSINO DE CIÊNCIAS HUMANAS
11201920495;DA1ESZG017-17SB;CLIMA E CULTURA ORGANIZACIONAL
13201812341;DA1MCTC014-13SB;INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA
13201812341;DA1ESHC032-17SB;MACROECONOMIA II
11202421733;DB2BIN0406-15SA;INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA
11202321840;NA2ESTO004-17SA;INSTRUMENTAÇÃO E CONTROLE
11201920209;DA1ESMA002-23SB;INOVAÇÕES PARA ENGENHARIA
11202130202;DA1ESHR031-21SB;ECONOMIA POLÍTICA INTERNACIONAL
11202432306;DA4BIK0102-15SA;ESTRUTURA DA MATÉRIA
11202432306;DA4BIL0304-15SA;EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA
11201811392;DA1ESTE032-17SA;ENGENHARIA SOLAR TÉRMICA
11201920288;NA2BCJ0203-15SB;FENÔMENOS ELETROMAGNÉTICOS
11201920288;NB1BCN0405-15SB;INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
11202112017;NA1ESTE034-17SA;ENGENHARIA DE BIOCOMBUSTÍVEIS
11201922186;NA1ESHC024-19SB;MACROECONOMIA III
